epoch,from_worker,to_worker,activity_type,#(activities),t(activities),#(records)
1,3,2,ControlMessage,1,149647,0
1,2,2,Busy,8,459671,0
1,3,3,Busy,8,391180,0
1,0,2,ControlMessage,1,182448,0
1,2,1,ControlMessage,1,198637,0
1,1,1,Processing,2,610606,2000
1,3,3,Spinning,7,153289,0
1,0,3,ControlMessage,1,228503,0
1,0,0,Spinning,5,175905,0
1,0,0,Busy,8,408135,0
1,0,1,ControlMessage,1,130619,0
1,1,0,DataMessage,1,116095,1000
1,2,0,DataMessage,1,52463,1000
1,1,3,ControlMessage,1,214087,0
1,1,0,ControlMessage,1,1184472,0
1,3,0,ControlMessage,1,1136115,0
1,0,0,Processing,8,1512145,14000
1,3,0,DataMessage,1,45297,1000
1,2,2,Processing,2,610555,2000
1,3,3,Waiting,3,839168,0
1,1,2,ControlMessage,1,190194,0
1,1,1,Busy,8,464057,0
1,2,2,Waiting,3,823880,0
1,2,2,Spinning,7,169258,0
1,1,1,Spinning,7,168259,0
1,1,1,Waiting,3,770787,0
1,2,3,ControlMessage,1,220795,0
1,0,0,Waiting,3,340876,0
1,3,1,ControlMessage,1,149980,0
1,2,0,ControlMessage,1,1178668,0
1,3,3,Processing,2,599908,2000
2,0,0,Processing,8,1600994,14000
2,3,1,ControlMessage,1,209407,0
2,3,0,ControlMessage,1,1669644,0
2,2,2,Busy,7,366957,0
2,0,0,Busy,8,258767,0
2,0,3,ControlMessage,1,208189,0
2,0,1,ControlMessage,1,209060,0
2,2,1,ControlMessage,1,93336,0
2,2,3,ControlMessage,1,192945,0
2,3,3,Spinning,6,188640,0
2,1,1,Spinning,6,167384,0
2,3,3,Processing,2,594316,2000
2,3,3,Busy,7,568638,0
2,2,2,Waiting,3,1134702,0
2,0,2,ControlMessage,1,208656,0
2,1,3,ControlMessage,1,241493,0
2,2,0,ControlMessage,1,1544109,0
2,1,0,DataMessage,1,524137,1000
2,2,2,Processing,2,677780,2000
2,3,0,DataMessage,1,568980,1000
2,3,2,ControlMessage,1,297870,0
2,1,1,Processing,2,687048,2000
2,1,2,ControlMessage,1,222023,0
2,2,2,Spinning,6,214553,0
2,2,0,DataMessage,1,471184,1000
2,0,0,Waiting,3,321459,0
2,1,1,Waiting,3,1196480,0
2,0,0,Spinning,5,149032,0
2,3,3,Waiting,3,1063121,0
2,1,1,Busy,7,405919,0
2,1,0,ControlMessage,1,1593939,0
3,2,3,ControlMessage,1,159733,0
3,2,2,Busy,7,401801,0
3,3,0,ControlMessage,1,1621326,0
3,0,0,Processing,8,1608559,14000
3,1,1,Processing,2,638927,2000
3,3,3,Waiting,3,1183144,0
3,1,1,Waiting,3,1121285,0
3,1,1,Spinning,6,185017,0
3,3,2,ControlMessage,1,233668,0
3,2,0,DataMessage,1,303880,1000
3,0,3,ControlMessage,1,202157,0
3,0,2,ControlMessage,1,213830,0
3,0,1,ControlMessage,1,192069,0
3,3,3,Spinning,6,139270,0
3,1,0,ControlMessage,1,1513792,0
3,0,0,Spinning,5,151734,0
3,0,0,Busy,8,285463,0
3,2,1,ControlMessage,1,127656,0
3,2,2,Spinning,6,208963,0
3,3,3,Processing,2,616207,2000
3,1,1,Busy,7,401977,0
3,0,0,Waiting,3,297873,0
3,3,3,Busy,7,484354,0
3,1,3,ControlMessage,1,154709,0
3,1,0,DataMessage,1,304059,1000
3,2,0,ControlMessage,1,1517699,0
3,2,2,Waiting,3,1140696,0
3,3,0,DataMessage,1,381613,1000
3,2,2,Processing,2,637650,2000
3,3,1,ControlMessage,1,231400,0
3,1,2,ControlMessage,1,126022,0
4,1,0,ControlMessage,1,1400298,0
4,3,1,ControlMessage,1,190854,0
4,0,1,ControlMessage,1,163251,0
4,0,0,Spinning,5,203316,0
4,2,0,ControlMessage,1,1349911,0
4,2,2,Busy,7,351592,0
4,0,3,ControlMessage,1,219007,0
4,1,3,ControlMessage,1,105397,0
4,0,0,Processing,8,1509937,14000
4,0,0,Busy,8,257671,0
4,1,1,Busy,7,373603,0
4,3,0,DataMessage,1,328685,1000
4,1,1,Processing,2,641658,2000
4,1,0,DataMessage,1,320905,1000
4,1,1,Spinning,6,161020,0
4,3,2,ControlMessage,1,215735,0
4,2,1,ControlMessage,1,106851,0
4,3,3,Waiting,3,1119756,0
4,1,1,Waiting,3,1004537,0
4,2,0,DataMessage,1,288173,1000
4,3,0,ControlMessage,1,1433253,0
4,3,3,Processing,2,587186,2000
4,2,2,Processing,2,638380,2000
4,2,2,Spinning,6,205297,0
4,3,3,Spinning,6,148532,0
4,0,0,Waiting,3,316383,0
4,1,2,ControlMessage,1,182459,0
4,0,2,ControlMessage,1,241286,0
4,2,2,Waiting,3,1022782,0
4,3,3,Busy,7,336657,0
4,2,3,ControlMessage,1,54794,0
5,2,3,ControlMessage,1,208592,0
5,1,1,Spinning,6,195055,0
5,2,2,Waiting,3,980462,0
5,0,2,ControlMessage,1,203746,0
5,2,2,Busy,7,388801,0
5,1,0,ControlMessage,1,1443334,0
5,1,1,Waiting,3,996736,0
5,2,0,ControlMessage,1,1393623,0
5,3,1,ControlMessage,1,180212,0
5,0,0,Waiting,3,325236,0
5,2,1,ControlMessage,1,68917,0
5,0,0,Spinning,5,169837,0
5,3,3,Processing,2,574002,2000
5,1,2,ControlMessage,1,200909,0
5,3,0,ControlMessage,1,1505330,0
5,2,2,Spinning,6,183455,0
5,3,2,ControlMessage,1,254458,0
5,1,1,Busy,7,396354,0
